N,P,K,pH,EC,OC,Cu,Fe,Mn,Rainfall,Humidity,Temperature,Label
539.0,12.5,149.8,7.2,0.37,0.91,0.42,17.8,4.2,78.72,62.31,15.92,Apple
547.0,12.3,178.3,6.5,0.42,0.98,0.49,17.9,5.1,90.15,72.6,21.1996,Apple
549.0,11.0,149.5,6.9,0.89,0.79,0.43,14.5,6.0,55.79,58.99,22.617,Apple
534.0,9.6,155.3,6.8,0.21,0.75,0.51,19.2,2.9,92.98,59.44,19.2668,Apple
485.2,18.9,42.5,7.0,0.09,0.84,1.0,8.9,1.7,67.38,76.83,15.7678,Apple
489.1,20.7,49.3,7.0,0.1,0.85,1.0,11.8,1.9,64.26,56.6,16.9384,Apple
346.8,5.35,78.4,5.5,0.11,0.48,1.9,9.0,0.14,90.76,55.29,18.1215,Apple
588.9,12.3,291.2,6.3,0.1,1.2,1.6,14.0,0.89,79.3,62.57,18.0535,Apple
416.4,7.4,79.8,6.7,0.06,0.51,1.1,14.0,1.08,72.47,68.38,20.8061,Apple
586.8,14.1,582.4,6.8,0.1,1.32,1.1,16.0,0.7,88.24,56.67,21.9241,Apple
579.4,15.2,280.0,5.7,0.06,1.35,1.2,9.0,0.44,80.85,64.42,20.9479,Apple
594.8,8.5,336.0,5.7,0.1,1.54,1.4,16.0,0.33,74.03,75.92,17.1652,Apple
428.7,8.2,302.4,6.4,0.05,0.57,1.1,9.0,0.67,59.99,70.33,15.5412,Apple
479.4,6.1,302.6,6.8,0.07,0.51,1.8,4.0,0.13,62.97,54.92,22.1484,Apple
256.8,4.2,380.8,7.3,0.11,0.18,3.8,9.0,0.18,91.95,73.31,16.4633,Apple
587.4,9.6,168.0,6.2,0.04,0.97,0.32,7.2,0.66,87.11,80.01,20.9193,Apple
582.4,8.1,156.8,5.9,0.05,0.99,0.14,9.4,0.72,83.11,74.71,20.2307,Apple
487.4,8.3,100.8,6.1,0.05,0.73,0.28,6.6,1.0,62.65,56.05,19.5034,Apple
651.2,30.5,105.2,5.4,0.14,1.48,0.22,9.0,0.88,92.37,63.97,16.5252,Apple
250.4,14.3,224.0,6.3,0.05,0.3,0.35,8.4,0.64,99.53,56.92,22.8269,Apple
156.8,7.4,201.6,7.4,0.08,0.28,0.31,8.1,0.14,82.71,63.93,18.6239,Apple
489.4,9.7,218.9,5.8,0.07,0.85,0.28,8.8,0.24,76.87,62.86,18.616,Apple
473.8,7.6,187.4,5.9,0.06,0.72,0.34,4.8,0.31,60.65,66.32,22.4423,Apple
461.4,11.4,196.7,6.0,0.09,0.68,0.37,7.6,0.37,91.28,54.67,15.1024,Apple
253.8,13.8,109.7,6.2,0.04,0.39,0.41,6.1,0.41,75.5,53.84,15.6253,Apple
